NAME,NAMELSAD,ALAND,AWATER,COUSUB,Base 2000,Estimate 2000,Estimate 2001,Estimate 2002,Estimate 2003,Estimate 2004,Estimate 2005,Estimate 2006,Estimate 2007,Estimate 2008,Estimate 2009,Estimate 2010,Base 2010,Estimate 2010 v2010,Estimate 2011,Estimate 2012,Estimate 2013,Estimate 2014,Estimate 2015,Estimate 2016,Estimate 2017,Estimate 2018
Saco,Saco city,99653051,36991907,64675,16864,16988,17360,17690,17917,18128,18272,18287,18348,18420,18440,18490,18501,18516,18645,18765,18890,19049,19079,19265,19567,19748
Buxton,Buxton town,104971401,1818968,9410,7435,7488,7641,7766,7858,7940,7984,7979,8000,8020,8021,8037,8035,8037,8065,8073,8080,8131,8145,8201,8260,8310
Harrison,Harrison town,85973029,9342633,31600,2313,2325,2365,2412,2461,2506,2546,2585,2628,2673,2713,2728,2734,2731,2745,2754,2774,2790,2791,2789,2783,2785
Brunswick,Brunswick town,121148033,19570135,8430,21206,21184,21267,21209,21187,21105,20983,20770,20672,20588,20458,20263,20279,20255,20295,20323,20394,20472,20642,20546,20520,20481
Casco,Casco town,81024973,17418384,11125,3477,3485,3513,3547,3585,3615,3638,3659,3687,3718,3742,3739,3742,3738,3754,3775,3807,3844,3866,3898,3899,3902
Freeport,Freeport town,89980973,30374324,26525,7795,7800,7822,7846,7879,7895,7896,7886,7898,7915,7914,7873,7878,7875,7931,8031,8117,8235,8305,8400,8448,8510
Gorham,Gorham town,131022412,1725384,28240,14172,14229,14551,14802,15080,15317,15523,15661,15881,16112,16304,16369,16371,16368,16501,16639,16806,16975,17138,17335,17439,17651
Harpswell,Harpswell town,62423208,268299697,31390,5219,5210,5160,5122,5091,5048,4996,4940,4895,4854,4801,4736,4740,4737,4761,4777,4804,4850,4869,4883,4894,4912
Naples,Naples town,82451212,14018784,48085,3251,3268,3330,3398,3471,3538,3597,3655,3718,3786,3845,3869,3872,3874,3892,3901,3924,3950,3959,3966,3961,3954
Sebago,Sebago town,84849276,41869599,66775,1418,1426,1456,1489,1524,1556,1585,1613,1644,1676,1705,1718,1720,1719,1729,1736,1750,1764,1776,1794,1805,1814
Standish,Standish town,152975604,55747388,73670,9280,9297,9407,9485,9578,9647,9696,9712,9772,9839,9883,9867,9872,9865,9899,9912,9985,10069,10116,10090,10065,10083
Yarmouth,Yarmouth town,34717747,24711006,87845,8355,8359,8364,8381,8407,8415,8407,8390,8393,8403,8394,8342,8350,8343,8388,8415,8460,8500,8518,8514,8478,8518
Hiram,Hiram town,97246241,3415725,33315,1425,1430,1451,1480,1502,1528,1553,1572,1594,1610,1615,1618,1620,1619,1622,1619,1621,1615,1608,1607,1621,1629
Lovell,Lovell town,111748333,12278679,41365,965,969,988,1012,1031,1054,1074,1092,1111,1126,1133,1138,1135,1135,1137,1132,1130,1129,1126,1126,1131,1132
West Bath,West Bath town,30832036,8020655,81930,1789,1791,1807,1827,1856,1871,1866,1877,1887,1892,1886,1873,1877,1878,1883,1885,1883,1886,1888,1889,1900,1910
Cumberland,Cumberland town,59200545,8781252,15430,6794,6808,6847,6903,6968,7016,7053,7084,7131,7181,7218,7205,7203,7201,7239,7290,7370,7542,7670,7791,8126,8165
Denmark,Denmark town,119439966,9889262,17250,1000,1004,1020,1041,1057,1077,1095,1110,1127,1139,1143,1146,1148,1147,1149,1144,1141,1140,1137,1136,1144,1146
Greenwood,Greenwood town,107942995,3641701,29710,796,797,801,810,814,821,827,830,835,837,832,829,830,828,827,821,816,813,809,806,810,809
Bethel,Bethel town,167325521,3385969,4825,2419,2424,2445,2480,2502,2532,2559,2576,2600,2613,2608,2603,2600,2599,2610,2604,2608,2631,2640,2660,2690,2717
Sweden,Sweden town,74645928,2380687,75595,322,324,331,340,347,356,364,371,379,385,388,390,398,397,398,400,400,400,401,400,402,405
Waterford,Waterford town,130169903,6891201,80635,1463,1465,1476,1495,1506,1522,1535,1543,1555,1560,1555,1551,1549,1547,1548,1541,1541,1546,1549,1553,1571,1576
Otisfield,Otisfield town,103412686,11178247,55960,1565,1570,1592,1623,1646,1674,1700,1720,1743,1760,1765,1767,1770,1771,1769,1768,1762,1757,1756,1756,1776,1796
Norway,Norway town,116656726,5931190,54000,4607,4616,4662,4735,4779,4840,4895,4938,4987,5016,5011,5007,5016,5010,5012,4979,4976,4963,4939,4944,4964,4982
Stoneham,Stoneham town,87638632,2325160,74510,255,254,253,253,251,250,249,247,245,243,239,236,236,235,235,235,235,236,236,237,240,242
Auburn,Auburn city,153678499,16576860,2060,23207,23193,23183,23259,23394,23451,23456,23482,23341,23356,23158,23038,23058,23055,22977,22962,22926,22940,22938,23116,23146,23196
Poland,Poland town,109380787,12835647,60020,4856,4867,4916,4988,5075,5149,5214,5273,5299,5351,5359,5372,5376,5382,5386,5409,5465,5512,5513,5537,5585,5612
Bath,Bath city,23617609,10616437,3355,9273,9250,9209,9187,9218,9171,9014,8958,8875,8790,8639,8498,8514,8490,8427,8402,8357,8337,8313,8282,8321,8329
Phippsburg,Phippsburg town,74492797,109921967,58515,2099,2101,2121,2146,2182,2202,2197,2212,2224,2232,2225,2212,2216,2215,2213,2219,2221,2224,2227,2230,2245,2254
Falmouth,Falmouth town,76146394,17973384,24495,10338,10363,10463,10569,10688,10783,10859,10919,11008,11106,11181,11176,11180,11189,11281,11373,11481,11724,11914,12098,12170,12240
Baldwin,Baldwin town,91485591,2659913,2655,1288,1295,1318,1344,1372,1398,1420,1442,1467,1493,1515,1524,1524,1524,1542,1551,1566,1580,1583,1593,1600,1608
Gray,Gray town,112129021,6993510,28870,6820,6847,6941,7049,7166,7268,7357,7440,7539,7642,7731,7755,7763,7762,7808,7844,7899,7965,8020,8077,8159,8206
Long Island,Long Island town,3715081,83116799,41067,204,205,207,210,214,216,219,221,224,227,229,230,230,230,232,234,237,238,238,239,240,240
Scarborough,Scarborough town,123307969,59609341,66145,16991,17047,17256,17485,17735,17948,18127,18282,18483,18699,18875,18904,18910,18896,19022,19112,19292,19486,19597,19817,19918,20352
Windham,Windham town,120636268,9250197,86025,14910,14967,15231,15470,15732,15959,16153,16308,16521,16746,16934,16988,16997,16999,17141,17233,17439,17601,17772,17999,18319,18439
Bridgton,Bridgton town,147279656,19100966,7170,4879,4890,4928,4972,5023,5062,5091,5111,5147,5185,5213,5206,5214,5214,5250,5278,5317,5355,5364,5376,5370,5368
Cape Elizabeth,Cape Elizabeth town,38060403,80874208,10180,9045,9048,9050,9064,9089,9095,9084,9065,9067,9075,9065,9008,9013,9005,9041,9066,9131,9230,9258,9287,9299,9313
Frye Island,Frye Island town,3463767,652584,27025,0,0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
Chebeague Island,Chebeague Island town,9263531,54320559,12300,356,356,354,353,353,352,350,348,347,346,344,341,341,340,341,343,346,347,351,352,351,351
New Gloucester,New Gloucester town,122049349,1764964,48820,4818,4838,4911,4994,5083,5160,5229,5293,5369,5448,5517,5538,5543,5543,5564,5589,5624,5668,5692,5724,5754,5803
North Yarmouth,North Yarmouth town,54968719,494215,53860,3204,3214,3249,3293,3339,3379,3413,3445,3482,3523,3557,3562,3573,3570,3583,3605,3645,3692,3714,3743,3761,3800
Portland,Portland city,55863362,123988333,60545,64250,64320,64710,65033,65444,65702,65834,65818,66030,66289,66402,66143,66193,66090,66177,66215,66388,66835,66829,66898,66723,66417
Pownal,Pownal town,59204522,38368,60685,1485,1486,1484,1486,1489,1490,1487,1484,1484,1485,1483,1473,1472,1470,1473,1476,1484,1507,1514,1521,1537,1548
Raymond,Raymond town,85971723,29947516,61945,4279,4285,4299,4324,4353,4374,4386,4395,4413,4436,4448,4432,4438,4432,4442,4447,4466,4494,4502,4505,4495,4512
South Portland,South Portland city,31255707,5037136,71990,23365,23415,23618,23830,24073,24263,24406,24508,24682,24875,25012,24983,25004,24976,25050,25080,25259,25464,25521,25538,25472,25606
Westbrook,Westbrook city,44519437,443843,82105,16100,16142,16289,16462,16655,16811,16937,17047,17195,17357,17481,17480,17515,17507,17577,17620,17800,17955,18020,18360,18753,18974
Durham,Durham town,99144955,1976572,19105,3390,3400,3444,3504,3573,3636,3692,3743,3771,3816,3831,3845,3850,3852,3864,3877,3882,3900,3906,3928,3949,3967
South Oxford,South Oxford UT,251447553,1877522,71755,491,493,502,515,524,536,546,555,564,572,576,578,583,582,580,577,574,572,568,566,569,569
