"","Group","Year","Total"
"1","Base",2000,349833
"2","Base",2010,369988
"3","Estimate",2000,350533
"4","Estimate",2001,353593
"5","Estimate",2002,356684
"6","Estimate",2003,360073
"7","Estimate",2004,362658
"8","Estimate",2005,364367
"9","Estimate",2006,365449
"10","Estimate",2007,367266
"11","Estimate",2008,369419
"12","Estimate",2009,370393
"13","Estimate",2010,369685
"14","Estimate",2011,371010
"15","Estimate",2012,372036
"16","Estimate",2013,374078
"17","Estimate",2014,376918
"18","Estimate",2015,378322
"19","Estimate",2016,380377
"20","Estimate",2017,382235
"21","Estimate",2018,383886
"22","Estimate2",2010,369753
